Method,Path,Body,Single Quotes,Double Quotes,Dashes,Braces,Spaces,Tags,Colons,Backtick,Bad Words,XSS Check,XSS Word,Class
GET,/ga.js,,0,0,0,0,0,0,0,0,0,0,0,good
GET,/favicon.ico,,0,0,0,0,0,0,0,0,0,0,0,good
GET,/ga.js,,0,0,0,0,0,0,0,0,0,0,0,good
GET,/ga.js,,0,0,0,0,0,0,0,0,0,0,0,good
GET,/images/sft_approved_banners/sft_logo_medium.gif,,0,0,0,0,0,0,0,0,0,0,0,good
GET,/NYSCSS_Pres.htm,,0,0,0,0,0,0,0,0,0,0,0,good
GET,/images/sft_approved_banners/sft_logo_medium.gif,,0,0,0,0,0,0,0,0,0,0,0,good
GET,/images/sft_approved_banners/sft_logo_medium.gif,,0,0,0,0,0,0,0,0,0,0,0,good
GET,/ga.js,,0,0,0,0,0,0,0,0,0,0,0,good
GET,/images/sft_approved_banners/sft_logo_medium.gif,,0,0,0,0,0,0,0,0,0,0,0,good
GET,/,,0,0,0,0,0,0,0,0,0,0,0,good
GET,/,,0,0,0,0,0,0,0,0,0,0,0,good
GET,/wp-includes/js/jquery/jquery.min.js?ver=3.7.0,,0,0,0,0,0,0,0,0,0,0,0,good
GET,/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1,,0,0,0,0,0,0,0,0,0,0,0,good
GET,/wp-content/plugins/gp-premium/menu-plus/functions/js/sticky.min.js?ver=2.0.2,,0,0,0,0,0,0,0,0,0,0,0,good
GET,/wp-content/plugins/table-of-contents-plus/front.min.js?ver=2302,,0,0,0,0,0,0,0,0,0,0,0,good
GET,/wp-content/themes/generatepress/assets/js/main.min.js?ver=3.0.3,,0,0,0,0,0,0,0,0,0,0,0,good
GET,/wp-content/plugins/q2w3-fixed-widget/js/frontend.min.js?ver=6.2.3,,0,0,0,0,0,0,0,0,0,0,0,good
GET,/wp-content/themes/generatepress/assets/js/back-to-top.min.js?ver=3.0.3,,0,0,0,0,0,0,0,0,0,0,0,good
GET,/wp-content/themes/generatepress/assets/js/navigation-search.min.js?ver=3.0.3,,0,0,0,0,0,0,0,0,0,0,0,good
GET,/analytics.js,,0,0,0,0,0,0,0,0,0,0,0,good
POST,/j/collect?v=1&_v=j101&a=14690339&t=pageview&_s=1&dl=https%3A%2F%2Fwww.regentsprep.org%2F&dr=http%3A%2F%2Fwww.socialstudieshelp.com%2F&ul=en-us&de=UTF-8&dt=Regents%20Prep%20%5B%20Professional%20Exam%20Review%20Courses%20%5D%20Online%20Learning%20Center&sd=24-bit&sr=1450x816&vp=1434x701&je=0&_u=IEBAAEABAAAAACAAI~&jid=75736388&gjid=1584227763&cid=985286064.1693836720&tid=UA-123750972-1&_gid=734234828.1693836720&_r=1&_slc=1&z=1254466849,,0,0,0,0,10,0,0,0,0,0,1,good
GET,/ajax/libs/jquery/3.2.1/jquery.min.js,,0,0,0,0,0,0,0,0,0,0,0,good
GET,/wp-includes/js/wp-emoji-release.min.js?ver=6.3.1,,0,0,0,0,0,0,0,0,0,0,0,good
GET,/gtag/js?id=G-E6393PP3L5&cx=c&_slc=1,,0,0,0,0,0,0,0,0,1,0,0,good
POST,/g/collect?v=2&tid=G-E6393PP3L5&gtm=45je38u0&_p=14690339&ul=en-us&sr=1450x816&cid=985286064.1693836720&uaa=&uab=&uafvl=&uamb=0&uam=&uap=&uapv=&uaw=0&_eu=ABAI&_s=1&dl=https%3A%2F%2Fwww.regentsprep.org%2F&dr=http%3A%2F%2Fwww.socialstudieshelp.com%2F&dt=Regents%20Prep%20%5B%20Professional%20Exam%20Review%20Courses%20%5D%20Online%20Learning%20Center&sid=1693836720&sct=1&seg=0&en=page_view&_fv=1&_ss=1&_ee=1,,0,0,0,0,10,0,0,0,0,0,0,good
GET,/images/sft_approved_banners/sft_logo_medium.gif,,0,0,0,0,0,0,0,0,0,0,0,good
GET,/ga.js,,0,0,0,0,0,0,0,0,0,0,0,good
GET,/,,0,0,0,0,0,0,0,0,0,0,0,good
GET,/,,0,0,0,0,0,0,0,0,0,0,0,good
GET,/programs,,0,0,0,0,0,0,0,0,0,0,0,good
GET,/web,,0,0,0,0,0,0,0,0,0,0,0,good
GET,/general,,0,0,0,0,0,0,0,0,0,0,0,good
GET,/DVWA/,,0,0,0,0,0,0,0,0,0,0,0,good
GET,/DVWA/,,0,0,0,0,0,0,0,0,0,0,0,good
GET,/dvwa/js/add_event_listeners.js,,0,0,0,0,0,0,0,0,0,0,0,good
GET,/DVWA/security.php,,0,0,0,0,0,0,0,0,0,0,0,good
GET,/dvwa/js/add_event_listeners.js,,0,0,0,0,0,0,0,0,0,0,0,good
POST,/DVWA/security.php,security=low&seclev_submit=Submit&user_token=6acd47535168c87e2ac642400202a084,0,0,0,0,0,0,0,0,0,0,0,good
GET,/DVWA/security.php,,0,0,0,0,0,0,0,0,0,0,0,good
GET,/dvwa/js/add_event_listeners.js,,0,0,0,0,0,0,0,0,0,0,0,good
GET,/DVWA/vulnerabilities/exec/,,0,0,0,0,0,0,0,0,0,0,0,good
GET,/DVWA/vulnerabilities/csrf/,,0,0,0,0,0,0,0,0,0,0,0,good
