Method,Path,Body,Single Quotes,Double Quotes,Dashes,Braces,Spaces,Tags,Colons,Backtick,Bad Words,XSS Check,XSS Word
GET,/DVWA/,,0,0,0,0,0,0,0,0,0,0,0
GET,/dvwa/js/add_event_listeners.js,,0,0,0,0,0,0,0,0,0,0,0
GET,/DVWA/instructions.php,,0,0,0,0,0,0,0,0,0,0,0
GET,/dvwa/js/add_event_listeners.js,,0,0,0,0,0,0,0,0,0,0,0
GET,/DVWA/setup.php,,0,0,0,0,0,0,0,0,0,0,0
GET,/dvwa/js/add_event_listeners.js,,0,0,0,0,0,0,0,0,0,0,0
GET,/DVWA/vulnerabilities/brute/,,0,0,0,0,0,0,0,0,0,0,0
GET,/DVWA/vulnerabilities/exec/,,0,0,0,0,0,0,0,0,0,0,0
GET,/DVWA/vulnerabilities/upload/,,0,0,0,0,0,0,0,0,0,0,0
GET,/DVWA/vulnerabilities/sqli/,,0,0,0,0,0,0,0,0,0,0,0
GET,/DVWA/vulnerabilities/weak_id/,,0,0,0,0,0,0,0,0,0,0,0
GET,/DVWA/vulnerabilities/xss_r/,,0,0,0,0,0,0,0,0,0,0,0
GET,/DVWA/vulnerabilities/xss_s/,,0,0,0,0,0,0,0,0,0,0,0
GET,/DVWA/vulnerabilities/csp/,,0,0,0,0,0,0,0,0,0,0,0
GET,/DVWA/vulnerabilities/csp/source/impossible.js,,0,0,0,0,0,0,0,0,0,0,0
GET,/DVWA/vulnerabilities/javascript/,,0,0,0,0,0,0,0,0,0,0,1
GET,/DVWA/security.php,,0,0,0,0,0,0,0,0,0,0,0
GET,/dvwa/js/add_event_listeners.js,,0,0,0,0,0,0,0,0,0,0,0
POST,/DVWA/security.php,security=low&seclev_submit=Submit&user_token=96bfa1a15aba20e836d5511eb32d288b,0,0,0,0,0,0,0,0,0,0,0
GET,/DVWA/security.php,,0,0,0,0,0,0,0,0,0,0,0
GET,/dvwa/js/add_event_listeners.js,,0,0,0,0,0,0,0,0,0,0,0
GET,/DVWA/phpinfo.php,,0,0,0,0,0,0,0,0,0,0,0
